"ahe","year","bachelor","female","age"
38.461540222168,2008,"yes","no",33
12.5,2008,"yes","no",31
9.85714244842529,2008,"no","no",30
8.24175834655762,2008,"no","no",30
17.7884616851807,2008,"no","no",31
10.0961542129517,2008,"no","yes",29
17.7884616851807,2008,"yes","no",26
30.384614944458,2008,"yes","no",28
23.6686382293701,2008,"yes","no",30
12.0192308425903,2008,"yes","yes",25
15.865385055542,2008,"no","no",26
11.8461542129517,2008,"no","no",25
28.8461532592773,2008,"no","no",30
9.44090938568115,2008,"no","no",31
20.1923084259033,2008,"no","no",32
13.4615383148193,2008,"no","yes",31
13.0341882705688,2008,"yes","yes",27
25.6410255432129,2008,"yes","yes",31
18.2186241149902,2008,"yes","yes",32
8.75384616851807,2008,"yes","yes",27
12.0192308425903,2008,"yes","no",29
22.4358978271484,2008,"no","no",34
14.4230766296387,2008,"no","yes",26
13.0769233703613,2008,"no","no",26
9.39375019073486,2008,"no","no",28
10.1796875,2008,"yes","yes",25
29.8076915740967,2008,"yes","no",33
32.0512809753418,2008,"no","no",34
8.65384578704834,2008,"no","no",25
7.21153831481934,2008,"no","yes",32
8.01282024383545,2008,"yes","no",25
15.625,2008,"no","yes",30
12.9807691574097,2008,"no","yes",29
28.8461532592773,2008,"yes","no",29
34.6153831481934,2008,"no","no",26
7.692307472229,2008,"no","no",30
16.8269233703613,2008,"no","no",27
19.7115383148193,2008,"no","no",32
19.7649574279785,2008,"no","yes",27
15.384614944458,2008,"yes","yes",27
13.4615383148193,2008,"no","yes",26
8.89423084259033,2008,"no","no",27
19.740385055542,2008,"no","no",31
12.4740123748779,2008,"no","yes",32
16.8278846740723,2008,"yes","no",25
25.6410255432129,2008,"yes","no",34
17.3076915740967,2008,"no","yes",30
17.5213680267334,2008,"yes","no",27
37.5,2008,"yes","yes",27
32.6923065185547,2008,"yes","no",32
27.884614944458,2008,"yes","yes",29
19.230770111084,2008,"yes","no",33
20.1923084259033,2008,"no","no",34
26.4423084259033,2008,"yes","yes",30
21.634614944458,2008,"yes","no",33
22.115385055542,2008,"yes","no",28
24.0384616851807,2008,"yes","no",32
33.6538467407227,2008,"yes","yes",34
23.5576915740967,2008,"yes","yes",33
15.384614944458,2008,"yes","yes",34
17.3076915740967,2008,"yes","no",33
18.269229888916,2008,"no","no",28
4.807692527771,2008,"yes","no",29
17.7884616851807,2008,"yes","yes",28
38.461540222168,2008,"yes","no",31
40.5982894897461,2008,"yes","no",34
15,2008,"yes","no",34
21.634614944458,2008,"no","no",34
15.865385055542,2008,"no","yes",29
20.6730766296387,2008,"no","no",31
